トピックID,タイトル,解説スコア,FCスコア,問題スコア,判定
tech-3-5-3,認証とアクセス制御,2,3,1,❌ 作り直し必須
tech-3-5-4,暗号化技術,2,3,1,❌ 作り直し必須
tech-3-5-5,セキュリティ対策,2,3,1,❌ 作り直し必須
tech-4-1-1,システム開発プロセス,2,3,1,❌ 作り直し必須
tech-4-1-2,開発手法,2,3,1,❌ 作り直し必須
tech-4-1-3,モデリング,2,3,1,❌ 作り直し必須
tech-4-1-4,テスト技法,2,3,1,❌ 作り直し必須
tech-4-1-5,開発ツール,2,3,1,❌ 作り直し必須
tech-4-2-1,モジュール設計,2,3,1,❌ 作り直し必須
tech-4-2-2,プログラミング,2,3,1,❌ 作り直し必須
tech-4-2-3,オブジェクト指向,2,3,1,❌ 作り直し必須
tech-4-3-1,アルゴリズムの基礎,2,3,1,❌ 作り直し必須
tech-4-3-2,データ構造,2,3,1,❌ 作り直し必須
tech-4-3-3,探索アルゴリズム,2,3,1,❌ 作り直し必須
tech-4-3-4,整列アルゴリズム,2,3,1,❌ 作り直し必須
tech-4-3-5,アルゴリズムの計算量,2,2,1,❌ 作り直し必須
tech-4-3-6,その他のアルゴリズム,2,2,1,❌ 作り直し必須
mgmt-1-1-1,プロジェクトマネジメントの基礎,2,3,1,❌ 作り直し必須
mgmt-1-1-2,プロジェクトの立上げ,2,2,1,❌ 作り直し必須
mgmt-1-1-3,スケジュール管理,2,3,1,❌ 作り直し必須
mgmt-1-1-4,コスト管理,2,3,1,❌ 作り直し必須
mgmt-1-1-5,品質管理,2,3,1,❌ 作り直し必須
mgmt-2-1-1,サービスマネジメントの基礎,2,3,1,❌ 作り直し必須
mgmt-2-1-2,サービスサポート,2,3,1,❌ 作り直し必須
mgmt-2-1-3,サービスデリバリ,2,3,1,❌ 作り直し必須
mgmt-2-1-4,システム運用,2,3,1,❌ 作り直し必須
mgmt-2-1-5,事業継続計画,2,3,1,❌ 作り直し必須
mgmt-2-2-1,システム監査の基礎,2,3,1,❌ 作り直し必須
mgmt-2-2-2,監査の実施,2,3,1,❌ 作り直し必須
strat-1-1-1,情報システム戦略,2,3,1,❌ 作り直し必須
strat-1-1-2,業務プロセス,2,2,2,❌ 作り直し必須
strat-1-1-3,ソリューションビジネス,2,2,1,❌ 作り直し必須
strat-1-1-4,システム活用促進,2,3,1,❌ 作り直し必須
strat-1-2-1,システム化計画,2,3,1,❌ 作り直し必須
strat-1-2-2,要件定義,2,2,1,❌ 作り直し必須
strat-2-1-1,経営戦略手法,2,3,1,❌ 作り直し必須
strat-2-1-2,マーケティング,2,3,1,❌ 作り直し必須
strat-2-1-3,ビジネス戦略,2,3,1,❌ 作り直し必須
strat-2-2-1,技術開発戦略,2,2,1,❌ 作り直し必須
strat-2-3-1,電子商取引,2,3,1,❌ 作り直し必須
strat-2-3-2,民生機器と産業機器,2,2,1,❌ 作り直し必須
strat-3-1-1,経営組織,2,2,1,❌ 作り直し必須
strat-3-1-2,業務分析と改善,2,3,1,❌ 作り直し必須
strat-3-1-3,OR・IE,2,3,1,❌ 作り直し必須
strat-3-2-1,財務会計,2,3,1,❌ 作り直し必須
strat-3-2-2,管理会計,2,2,1,❌ 作り直し必須
strat-3-3-1,知的財産権,2,3,1,❌ 作り直し必須
strat-3-3-2,セキュリティ関連法規,2,3,1,❌ 作り直し必須
strat-3-3-3,労働関連法規,2,2,1,❌ 作り直し必須
strat-3-3-4,取引関連法規,2,2,1,❌ 作り直し必須
strat-3-3-5,その他の法規・ガイドライン,2,3,1,❌ 作り直し必須
strat-3-4-1,標準化,2,3,1,❌ 作り直し必須
